date,course_id,course_name,category,level,is_new_course,list_price,pv_total,pv_organic,pv_ads,pv_social,uv_total,trial_total,add_to_cart_total,purchase_total,refunds,revenue_course,coupon_redemptions,learning_sessions,active_learners,lesson_starts,lesson_completions,avg_watch_time_min,avg_quiz_score,nps_responses,nps_score_avg,registrations,new_paid_users,subs_quarterly,subs_annual,subs_expiring,subs_renewals,revenue_subscription,revenue_enterprise
2024-06-16,1001,雅思口语专项突破,英语类课程,入门,0,812,150,86,38,26,99,36,7,3,0,424.4298730876005,2,61,15,61,40,41.83,77.0,1,34.2,10,0,0,0,0,0,710.9574080815436,116.58172551874772
2024-06-17,1001,雅思口语专项突破,英语类课程,入门,0,812,131,75,35,21,86,44,8,4,0,536.4849887635089,1,75,18,75,43,28.16,69.6,0,42.3,24,2,0,0,0,0,710.9574080815436,116.58172551874772
2024-06-18,1001,雅思口语专项突破,英语类课程,入门,0,812,126,73,32,21,83,43,12,8,0,1104.861612332209,4,89,22,89,56,31.71,75.5,0,52.4,4,7,0,0,0,0,726.346096568157,119.105139491015
2024-06-19,1001,雅思口语专项突破,英语类课程,入门,0,812,136,79,36,21,90,40,10,6,0,855.9490942849939,0,75,18,75,51,27.12,82.4,3,41.6,24,3,0,0,0,0,720.1906211735117,118.09577390210808
2024-06-20,1001,雅思口语专项突破,英语类课程,入门,0,812,135,77,36,22,89,36,6,3,0,446.0735210699737,0,61,15,61,37,18.24,73.5,0,48.1,21,2,0,0,0,0,664.791342621703,109.01148360194593
2024-06-21,1001,雅思口语专项突破,英语类课程,入门,0,812,152,87,40,25,100,34,8,5,1,765.6066264246488,1,58,14,58,35,25.73,84.7,1,42.3,10,2,0,0,0,0,723.2683588708343,118.60045669656154
2024-06-22,1001,雅思口语专项突破,英语类课程,入门,0,812,130,76,33,21,86,30,5,3,0,454.5143067795543,1,53,13,53,33,34.74,75.5,1,50.8,21,2,0,0,0,0,612.4698017672172,100.43187609623722
2024-06-23,1001,雅思口语专项突破,英语类课程,入门,0,812,162,94,44,24,107,48,5,1,0,143.21376856020484,1,61,15,61,36,25.98,81.7,0,49.5,17,0,0,0,0,0,803.2895390012245,131.7222093523513
2024-06-24,1001,雅思口语专项突破,英语类课程,入门,0,812,125,71,32,22,82,41,11,3,0,417.77259984022726,1,70,17,70,44,24.22,68.4,0,38.8,10,2,0,0,0,0,664.791342621703,109.01148360194593
2024-06-25,1001,雅思口语专项突破,英语类课程,入门,0,812,141,83,34,24,93,47,9,5,0,721.0336838159642,2,86,21,86,54,26.11,77.8,1,36.6,17,2,1,0,0,0,769.4344243306748,126.17069861336334
2024-06-26,1001,雅思口语专项突破,英语类课程,入门,0,812,114,66,29,19,75,29,3,1,0,139.71574137627914,0,50,12,50,31,16.46,69.6,0,43.5,10,0,0,0,0,0,538.6040970314724,88.31948902935434
2024-06-27,1001,雅思口语专项突破,英语类课程,入门,0,812,149,93,38,18,98,45,7,4,0,573.305079797213,1,81,20,81,49,32.49,81.8,2,47.0,24,4,0,1,0,0,772.5121620279975,126.6753814078168
2024-06-28,1001,雅思口语专项突破,英语类课程,入门,0,812,149,87,37,25,98,50,14,9,0,1225.0020644539916,2,106,26,106,66,28.23,78.7,0,51.5,10,3,0,0,0,0,849.4556044610649,139.29245126915313
2024-06-29,1001,雅思口语专项突破,英语类课程,入门,0,812,165,98,39,28,109,41,13,3,0,430.3150094983951,0,72,18,72,47,44.7,72.2,0,63.9,21,0,0,0,0,0,787.9008505146111,129.19879538008408
2024-06-30,1001,雅思口语专项突破,英语类课程,入门,0,812,143,81,38,24,94,41,7,4,0,597.1716906395468,2,72,18,72,44,32.15,82.6,0,49.5,31,2,0,0,0,0,729.4238342654796,119.60982228546844
2024-06-01,1002,实用商务英语实战1,英语类课程,进阶,0,797,110,64,28,18,73,34,11,4,0,603.1467275484979,0,53,13,53,34,33.24,85.2,0,61.8,0,2,0,0,0,0,584.7701624913128,95.88973094615616
2024-06-02,1002,实用商务英语实战1,英语类课程,进阶,0,797,112,67,26,19,74,28,6,2,0,263.7334810746618,0,42,10,42,27,23.72,80.8,1,44.0,10,2,0,0,0,0,535.5263593341497,87.81480623490089
2024-06-03,1002,实用商务英语实战1,英语类课程,进阶,0,797,95,53,26,16,63,21,9,2,0,287.58581385483825,0,42,10,42,25,33.07,78.7,0,36.7,28,0,0,0,1,0,440.116490717146,72.16963960684383
2024-06-04,1002,实用商务英语实战1,英语类课程,进阶,0,797,95,54,26,15,63,32,7,3,0,413.5287784648655,2,53,13,53,32,28.24,84.0,0,40.4,17,0,0,0,0,0,517.0599331502134,84.78670946818016
2024-06-05,1002,实用商务英语实战1,英语类课程,进阶,0,797,95,54,25,16,63,24,4,0,0,0.0,0,39,9,39,25,32.12,73.7,0,52.9,21,0,0,0,0,0,440.116490717146,72.16963960684383
2024-06-06,1002,实用商务英语实战1,英语类课程,进阶,0,797,95,52,26,17,63,21,6,3,0,440.6505471124452,1,36,9,36,23,40.83,80.2,2,40.8,10,3,0,0,0,0,449.3497038091141,73.68368799020419
2024-06-07,1002,实用商务英语实战1,英语类课程,进阶,0,797,100,61,24,15,66,28,11,7,0,1011.1214053550184,1,67,16,67,43,24.59,73.7,0,40.4,4,3,0,0,0,0,544.7595724261178,89.32885461826125
2024-06-08,1002,实用商务英语实战1,英语类课程,进阶,0,797,111,64,28,19,73,34,9,3,0,424.00000618691314,2,59,14,59,37,16.16,78.3,1,37.4,14,2,0,0,0,0,578.6146870966674,94.88036535724922
2024-06-09,1002,实用商务英语实战1,英语类课程,进阶,0,797,115,66,31,18,76,32,5,3,0,385.9325393598186,1,59,14,59,37,36.05,75.9,1,41.2,10,2,0,0,0,0,578.6146870966674,94.88036535724922
2024-06-10,1002,实用商务英语实战1,英语类课程,进阶,0,797,105,60,28,17,69,31,7,4,0,583.7355086902891,2,59,14,59,40,33.03,72.2,1,35.8,4,2,0,0,0,0,550.9150478207631,90.33822020716816
2024-06-11,1002,实用商务英语实战1,英语类课程,进阶,0,797,94,55,23,16,62,25,5,1,0,137.351082172939,0,39,9,39,24,34.11,88.2,0,55.2,7,0,0,0,0,0,452.4274415064368,74.18837078465764
2024-06-12,1002,实用商务英语实战1,英语类课程,进阶,0,797,91,52,23,16,60,30,7,4,0,596.5829948436918,0,50,12,50,32,22.94,80.2,0,47.8,7,3,1,0,0,0,501.6712446635999,82.26329549591289
2024-06-13,1002,实用商务英语实战1,英语类课程,进阶,0,797,133,78,36,19,88,34,5,4,1,558.8977092708823,3,61,15,61,38,32.26,69.6,0,46.8,24,2,0,0,0,0,655.5581295297349,107.49743521858557
2024-06-14,1002,实用商务英语实战1,英语类课程,进阶,0,797,89,52,23,14,59,21,7,4,1,543.7189590682822,0,42,10,42,26,24.62,66.1,0,37.6,4,2,0,0,0,0,440.116490717146,72.16963960684383
2024-06-15,1002,实用商务英语实战1,英语类课程,进阶,0,797,118,67,31,20,78,43,10,7,0,1031.983015310037,1,89,22,89,58,20.08,75.6,1,49.4,24,4,0,0,0,0,692.4909818976073,113.553628752027
2024-06-16,1002,实用商务英语实战1,英语类课程,进阶,0,797,121,67,33,21,80,37,6,4,0,542.8533118043242,1,70,17,70,42,29.67,88.0,0,29.1,7,2,0,0,0,0,637.0917033457988,104.46933845186484
2024-06-17,1002,实用商务英语实战1,英语类课程,进阶,0,797,85,51,22,12,56,21,3,2,1,282.87666805931644,0,33,8,33,21,29.94,86.0,0,52.4,21,0,0,0,0,0,409.339113743919,67.1228116623093
2024-06-18,1002,实用商务英语实战1,英语类课程,进阶,0,797,89,51,23,15,59,21,4,3,0,440.61336760353737,2,42,10,42,26,39.43,79.8,1,38.7,14,0,0,0,0,0,430.88327762517787,70.65559122348347
2024-06-19,1002,实用商务英语实战1,英语类课程,进阶,0,797,84,50,21,13,55,21,5,2,0,253.8779689643523,1,36,9,36,22,35.94,78.5,1,47.4,7,0,0,0,0,0,406.2613760465963,66.61812886785584
2024-06-20,1002,实用商务英语实战1,英语类课程,进阶,0,797,101,59,25,17,67,37,10,6,0,689.9681809965613,2,67,16,67,43,24.27,75.6,0,38.5,21,4,0,0,0,0,594.0033755832809,97.4037793295165
2024-06-21,1002,实用商务英语实战1,英语类课程,进阶,0,797,88,53,24,11,58,27,4,2,0,276.8785599184183,1,45,11,45,30,49.75,76.8,1,35.0,11,3,0,0,0,0,455.5051792037595,74.69305357911111
2024-06-22,1002,实用商务英语实战1,英语类课程,进阶,0,797,116,69,31,16,77,32,7,4,1,529.1307294881162,2,56,14,56,36,26.26,94.3,0,51.5,17,4,1,0,0,0,590.9256378859583,96.89909653506304
2024-06-23,1002,实用商务英语实战1,英语类课程,进阶,0,797,115,68,28,19,76,38,8,4,0,540.8902018994788,0,59,14,59,36,14.16,78.6,0,50.2,11,2,0,0,0,0,624.7807525565079,102.45060727405102
2024-06-24,1002,实用商务英语实战1,英语类课程,进阶,0,797,103,61,26,16,68,34,7,3,0,421.39673306400266,1,53,13,53,31,37.1,83.7,0,39.8,14,2,0,0,0,0,553.9927855180858,90.8429030016216
2024-06-25,1002,实用商务英语实战1,英语类课程,进阶,0,797,90,52,23,15,59,29,7,5,1,674.8586793712097,0,59,14,59,39,29.83,82.7,1,58.2,11,2,1,0,0,0,501.6712446635999,82.26329549591289
2024-06-26,1002,实用商务英语实战1,英语类课程,进阶,0,797,106,65,23,18,70,31,10,4,0,573.8702921063506,2,50,12,50,32,42.93,82.8,1,36.8,17,3,0,0,0,0,553.9927855180858,90.8429030016216
2024-06-27,1002,实用商务英语实战1,英语类课程,进阶,0,797,95,55,25,15,63,23,7,3,0,442.8013005791223,1,42,10,42,26,21.02,77.4,0,29.5,4,0,0,0,0,0,461.6606545984049,75.70241916801801
2024-06-28,1002,实用商务英语实战1,英语类课程,进阶,0,797,119,69,29,21,79,40,9,4,0,575.230960148516,1,59,14,59,39,21.78,80.3,2,48.0,21,0,0,0,0,0,649.4026541350895,106.48806962967863
2024-06-29,1002,实用商务英语实战1,英语类课程,进阶,0,797,107,61,30,16,71,36,7,2,0,274.038438225109,1,70,17,70,47,14.06,83.5,1,50.2,14,3,0,0,0,0,569.3814740046994,93.36631697388889
2024-06-30,1002,实用商务英语实战1,英语类课程,进阶,0,797,108,63,27,18,71,32,6,3,0,403.4659223844042,2,56,14,56,33,32.22,80.8,0,44.0,14,0,0,1,0,0,557.0705232154086,91.34758579607508
2024-06-01,1003,英语语法实战2,英语类课程,进阶,0,770,94,54,26,14,62,25,9,5,0,654.4196144642112,0,53,13,53,34,10.36,85.5,0,42.9,21,4,0,0,0,0,489.3602938743092,80.24456431809908
2024-06-02,1003,英语语法实战2,英语类课程,进阶,0,770,117,67,29,21,77,39,10,7,0,877.3236975146357,3,81,20,81,53,21.2,75.6,0,43.4,14,2,1,0,0,0,664.791342621703,109.01148360194593
2024-06-03,1003,英语语法实战2,英语类课程,进阶,0,770,76,44,20,12,50,21,9,3,0,394.2434953191502,2,36,9,36,23,24.63,74.0,2,48.0,4,0,0,0,0,0,390.8726875599828,64.09471489558857
2024-06-04,1003,英语语法实战2,英语类课程,进阶,0,770,90,55,21,14,59,23,11,7,0,893.3829068593582,1,50,12,50,34,40.36,71.1,0,28.2,24,3,0,0,0,0,483.2048184796638,79.23519872919218
2024-06-05,1003,英语语法实战2,英语类课程,进阶,0,770,93,54,24,15,61,23,7,3,0,415.5947469771002,0,39,9,39,25,39.59,79.0,1,36.1,10,2,0,0,0,0,455.5051792037595,74.69305357911111
2024-06-06,1003,英语语法实战2,英语类课程,进阶,0,770,111,66,29,16,73,31,6,4,1,520.2402832143741,1,58,14,58,35,36.83,78.7,0,33.7,14,0,0,0,0,0,569.3814740046994,93.36631697388889
2024-06-07,1003,英语语法实战2,英语类课程,进阶,0,770,98,58,23,17,65,25,7,5,0,644.6517149904871,1,59,14,59,44,34.07,78.6,0,40.9,10,2,1,0,0,0,501.6712446635999,82.26329549591289
2024-06-08,1003,英语语法实战2,英语类课程,进阶,0,770,110,68,27,15,73,41,15,5,0,635.738461501316,1,81,20,81,51,24.73,75.0,0,38.0,7,2,0,0,0,0,637.0917033457988,104.46933845186484
2024-06-09,1003,英语语法实战2,英语类课程,进阶,0,770,97,58,25,14,64,23,6,5,1,704.9239277975794,1,47,11,47,32,34.4,66.7,0,36.2,17,3,0,0,0,0,486.2825561769865,79.73988152364564
2024-06-10,1003,英语语法实战2,英语类课程,进阶,0,770,106,62,29,15,70,34,8,3,0,400.6828846810696,0,64,16,64,44,26.56,73.5,2,44.8,7,0,0,0,0,0,563.2259986100539,92.35695138498195
2024-06-11,1003,英语语法实战2,英语类课程,进阶,0,770,91,51,24,16,60,24,8,6,0,783.0089866330376,2,53,13,53,35,37.63,78.5,0,45.0,10,3,1,0,0,0,483.2048184796638,79.23519872919218
2024-06-12,1003,英语语法实战2,英语类课程,进阶,0,770,83,49,20,14,55,28,8,3,0,405.6890802072858,2,47,11,47,27,30.42,78.4,1,45.4,4,0,0,0,0,0,455.5051792037595,74.69305357911111
2024-06-13,1003,英语语法实战2,英语类课程,进阶,0,770,130,76,32,22,86,40,10,2,0,262.50273179709774,0,75,18,75,43,30.2,83.7,0,57.3,10,2,0,0,0,0,664.791342621703,109.01148360194593
2024-06-14,1003,英语语法实战2,英语类课程,进阶,0,770,103,59,29,15,68,31,7,3,0,381.5030470293598,0,56,14,56,34,32.04,82.3,0,45.4,7,2,0,0,0,0,535.5263593341497,87.81480623490089
2024-06-15,1003,英语语法实战2,英语类课程,进阶,0,770,100,58,25,17,66,31,8,4,0,496.77310076340393,1,64,16,64,40,19.02,77.5,2,43.8,4,2,0,0,0,0,535.5263593341497,87.81480623490089
2024-06-16,1003,英语语法实战2,英语类课程,进阶,0,770,100,57,26,17,66,34,7,2,0,261.25722244673614,0,56,14,56,33,40.13,90.7,2,37.1,4,0,0,0,0,0,535.5263593341497,87.81480623490089
2024-06-17,1003,英语语法实战2,英语类课程,进阶,0,770,97,55,27,15,64,25,7,2,0,272.3750956579771,1,42,10,42,25,23.11,80.7,0,42.2,21,0,0,1,0,0,470.8938676903729,77.21646755137836
2024-06-18,1003,英语语法实战2,英语类课程,进阶,0,770,97,57,23,17,64,27,6,3,0,408.4936344536846,1,45,11,45,28,39.67,84.2,0,45.0,14,2,1,0,0,0,492.4380315716318,80.74924711255254
2024-06-19,1003,英语语法实战2,英语类课程,进阶,0,770,83,48,23,12,55,29,9,6,0,806.7986638140784,1,61,15,61,38,35.72,81.2,2,27.6,7,3,1,0,0,0,489.3602938743092,80.24456431809908
2024-06-20,1003,英语语法实战2,英语类课程,进阶,0,770,113,66,28,19,75,34,6,5,0,668.5411797160812,2,67,16,67,43,29.43,86.7,1,53.3,7,2,0,1,0,0,603.236588675249,98.91782771287686
2024-06-21,1003,英语语法实战2,英语类课程,进阶,0,770,92,54,24,14,61,33,7,3,0,393.50456177302976,2,56,14,56,35,28.9,68.5,1,56.0,4,2,0,0,0,0,513.9821954528908,84.2820266737267
2024-06-22,1003,英语语法实战2,英语类课程,进阶,0,770,98,56,27,15,65,28,7,4,0,512.8946767188206,2,47,11,47,30,33.54,69.2,1,34.7,17,2,0,0,1,1,510.9044577555681,83.77734387927326
2024-06-23,1003,英语语法实战2,英语类课程,进阶,0,770,117,67,30,20,77,37,10,6,0,831.3157789422238,1,70,17,70,43,17.71,80.1,1,45.1,10,2,0,0,0,0,643.2471787404442,105.47870404077176
2024-06-24,1003,英语语法实战2,英语类课程,进阶,0,770,110,62,27,21,73,25,9,5,0,658.0736376008301,2,47,11,47,28,37.33,83.3,0,35.9,14,4,0,0,0,0,538.6040970314724,88.31948902935434
2024-06-25,1003,英语语法实战2,英语类课程,进阶,0,770,103,59,27,17,68,24,3,1,0,125.74457463677642,0,39,9,39,22,40.41,85.9,1,36.3,10,2,0,0,1,1,473.9716053876956,77.72115034583182
2024-06-26,1003,英语语法实战2,英语类课程,进阶,0,770,95,55,24,16,63,26,10,7,0,1004.6520136080694,3,50,12,50,33,28.53,85.8,0,53.2,10,2,0,0,0,0,517.0599331502134,84.78670946818016
2024-06-27,1003,英语语法实战2,英语类课程,进阶,0,770,90,54,22,14,59,29,6,3,0,389.8256977928752,0,50,12,50,32,34.17,74.0,1,46.1,10,3,0,0,0,0,483.2048184796638,79.23519872919218
2024-06-28,1003,英语语法实战2,英语类课程,进阶,0,770,108,63,30,15,71,38,8,3,0,368.6977544736634,1,64,16,64,41,29.04,78.8,1,37.8,14,2,0,0,0,0,594.0033755832809,97.4037793295165
2024-06-29,1003,英语语法实战2,英语类课程,进阶,0,770,99,58,26,15,65,37,8,6,0,826.527057506138,4,75,18,75,43,42.02,78.3,1,36.5,11,4,0,0,0,0,587.8479001886355,96.3944137406096
2024-06-30,1003,英语语法实战2,英语类课程,进阶,0,770,124,70,33,21,82,38,10,1,0,135.48726635720865,0,47,11,47,31,32.14,86.9,0,43.8,7,1,0,0,0,0,624.7807525565079,102.45060727405102
2024-06-01,1004,托福实战3,英语类课程,进阶,0,880,115,69,31,15,76,37,8,5,0,775.4462679453159,4,70,17,70,44,30.22,72.7,0,29.4,28,2,1,0,0,0,627.8584902538306,102.95529006850448
2024-06-02,1004,托福实战3,英语类课程,进阶,0,880,123,71,30,22,81,37,11,6,0,979.9858678074844,1,61,15,61,40,34.11,86.0,0,37.7,24,2,0,0,0,0,661.7136049243803,108.50680080749248
2024-06-03,1004,托福实战3,英语类课程,进阶,0,880,96,57,25,14,63,34,12,5,0,775.7828574285036,1,58,14,58,35,41.14,77.2,0,49.4,17,3,0,0,0,0,550.9150478207631,90.33822020716816
2024-06-04,1004,托福实战3,英语类课程,进阶,0,880,95,53,28,14,63,31,8,4,0,617.7515519765838,1,53,13,53,35,22.93,85.3,1,39.3,7,3,0,0,0,0,520.1376708475361,85.29139226263361
2024-06-05,1004,托福实战3,英语类课程,进阶,0,880,91,53,24,14,60,25,8,7,0,1089.09135553538,4,50,12,50,34,35.67,73.3,2,41.8,10,2,0,0,0,0,498.5935069662772,81.75861270145944
2024-06-06,1004,托福实战3,英语类课程,进阶,0,880,98,56,25,17,65,25,6,5,0,727.5939533034667,0,50,12,50,31,17.88,76.3,0,51.1,17,2,0,0,0,0,501.6712446635999,82.26329549591289
2024-06-07,1004,托福实战3,英语类课程,进阶,0,880,109,62,26,21,72,41,15,7,0,1095.0519783752616,1,81,20,81,50,32.82,74.1,0,41.0,0,0,0,0,0,0,652.4803918324122,106.9927524241321
2024-06-08,1004,托福实战3,英语类课程,进阶,0,880,119,68,33,18,79,35,12,6,0,901.8871480182077,1,67,16,67,41,33.26,74.2,1,60.7,17,3,0,0,1,0,637.0917033457988,104.46933845186484
2024-06-09,1004,托福实战3,英语类课程,进阶,0,880,90,52,23,15,59,25,8,3,0,475.8025461396291,2,47,11,47,30,23.61,83.4,0,48.7,10,1,0,0,0,0,458.58291690108217,75.19773637356455
2024-06-10,1004,托福实战3,英语类课程,进阶,0,880,104,62,26,16,69,36,14,6,0,888.2525032478247,1,72,18,72,51,34.24,76.6,0,47.9,17,7,0,1,0,0,597.0811132806036,97.90846212396995
2024-06-11,1004,托福实战3,英语类课程,进阶,0,880,99,57,28,14,65,36,9,3,0,432.983340752002,0,61,15,61,38,28.43,87.2,0,44.2,4,0,0,0,0,0,553.9927855180858,90.8429030016216
2024-06-12,1004,托福实战3,英语类课程,进阶,0,880,97,56,26,15,64,31,11,3,0,450.0646401277889,2,56,14,56,36,40.14,79.8,0,42.3,7,1,0,0,0,0,517.0599331502134,84.78670946818016
2024-06-13,1004,托福实战3,英语类课程,进阶,0,880,85,51,22,12,56,27,9,5,0,779.9871572130436,2,47,11,47,28,36.38,69.7,1,51.3,7,1,0,0,0,0,473.9716053876956,77.72115034583182
2024-06-14,1004,托福实战3,英语类课程,进阶,0,880,115,68,31,16,76,38,11,7,0,1125.1114638448207,3,59,14,59,33,21.35,72.4,0,50.1,7,4,0,0,0,0,652.4803918324122,106.9927524241321
2024-06-15,1004,托福实战3,英语类课程,进阶,0,880,126,74,35,17,83,36,10,6,1,945.1201935103531,2,64,16,64,41,25.78,80.7,0,44.7,7,2,0,0,0,0,664.791342621703,109.01148360194593
2024-06-16,1004,托福实战3,英语类课程,进阶,0,880,105,60,27,18,69,28,6,1,0,158.5322279731439,0,45,11,45,28,25.72,72.4,0,32.8,10,0,0,0,0,0,504.7489823609227,82.76797829036636
2024-06-17,1004,托福实战3,英语类课程,进阶,0,880,96,58,24,14,63,28,10,4,0,630.2796937320088,0,50,12,50,33,34.11,72.6,0,53.6,4,2,0,0,0,0,504.7489823609227,82.76797829036636
2024-06-18,1004,托福实战3,英语类课程,进阶,0,880,107,61,30,16,71,33,5,3,0,467.8200220761314,2,56,14,56,31,32.41,75.1,0,39.9,10,0,0,0,0,0,560.1482609127313,91.85226859052852
2024-06-19,1004,托福实战3,英语类课程,进阶,0,880,95,57,24,14,63,30,9,6,0,911.8954848971148,1,67,16,67,43,29.2,75.0,0,43.8,17,0,0,0,0,0,532.4486216368269,87.31012344044744
2024-06-20,1004,托福实战3,英语类课程,进阶,0,880,103,59,24,20,68,29,5,3,0,472.7452860765539,0,42,10,42,24,37.29,79.7,1,33.3,7,0,0,1,0,0,523.2154085448589,85.79607505708707
2024-06-21,1004,托福实战3,英语类课程,进阶,0,880,105,61,28,16,69,32,7,2,0,286.3137223111602,0,50,12,50,34,26.05,75.3,0,37.2,14,0,0,0,0,0,538.6040970314724,88.31948902935434
2024-06-22,1004,托福实战3,英语类课程,进阶,0,880,101,59,27,15,67,28,6,4,0,594.9037865133485,0,47,11,47,31,18.7,75.4,0,40.0,10,0,0,0,0,0,520.1376708475361,85.29139226263361
2024-06-23,1004,托福实战3,英语类课程,进阶,0,880,102,60,25,17,67,34,11,5,0,781.1149690375954,2,61,15,61,37,37.21,69.0,0,35.4,10,1,0,0,0,0,569.3814740046994,93.36631697388889
2024-06-24,1004,托福实战3,英语类课程,进阶,0,880,101,59,26,16,67,27,8,3,0,494.6168343962697,1,47,11,47,31,27.42,82.5,0,50.3,17,1,0,0,0,0,504.7489823609227,82.76797829036636
2024-06-25,1004,托福实战3,英语类课程,进阶,0,880,96,55,26,15,63,30,5,3,0,444.2580742014415,0,53,13,53,35,28.7,76.3,0,34.6,7,0,0,0,0,0,507.82672005824537,83.2726610848198
2024-06-26,1004,托福实战3,英语类课程,进阶,0,880,78,44,19,15,51,30,7,6,0,929.0057672697455,1,61,15,61,39,29.63,85.1,1,42.3,24,1,0,0,0,0,480.1270807823411,78.73051593473873
2024-06-27,1004,托福实战3,英语类课程,进阶,0,880,122,68,33,21,81,47,10,6,0,882.1925028001691,2,86,21,86,58,36.39,67.9,2,52.6,10,3,0,0,0,0,720.1906211735117,118.09577390210808
2024-06-28,1004,托福实战3,英语类课程,进阶,0,880,119,71,31,17,79,37,9,4,0,649.1077832756885,1,64,16,64,42,33.1,77.4,0,43.7,7,1,0,0,0,0,630.9362279511532,103.45997286295793
2024-06-29,1004,托福实战3,英语类课程,进阶,0,880,101,58,26,17,67,35,11,6,0,952.4018103941304,2,72,18,72,45,34.38,95.2,0,30.6,14,4,0,0,0,0,581.6924247939902,95.38504815170268
2024-06-30,1004,托福实战3,英语类课程,进阶,0,880,113,64,30,19,75,30,10,6,0,938.5358406459231,2,64,16,64,39,23.92,76.5,0,37.3,14,3,0,0,0,0,587.8479001886355,96.3944137406096
2024-06-01,1005,英语语法实战4,英语类课程,进阶,0,984,119,69,33,17,79,36,9,2,0,347.60792370875794,0,59,14,59,38,40.38,80.5,2,45.0,7,1,0,0,0,0,606.3143263725718,99.42251050733032
2024-06-02,1005,英语语法实战4,英语类课程,进阶,0,984,100,60,24,16,66,29,5,2,0,371.01703566719294,0,47,11,47,29,24.94,95.5,0,42.3,17,1,0,0,0,0,504.7489823609227,82.76797829036636
2024-06-03,1005,英语语法实战4,英语类课程,进阶,0,984,110,64,28,18,73,34,12,6,0,991.9309221443344,5,67,16,67,37,27.26,83.1,1,37.1,14,4,0,0,0,0,603.236588675249,98.91782771287686
